 iso3,new_gold_standard
AFG,DHS
AGO,DHS
ALB,DHS
AND,
ARE,
ARG,IPUMS
ARM,DHS
ATG,
AUS,CENSUS
AUT,IPUMS
AZE,DHS
BDI,DHS
BEL,
BEN,IPUMS
BFA,IPUMS
BGD,DHS
BGR,
BHR,CENSUS
BHS,CENSUS
BIH,MICS
BLR,IPUMS
BLZ,
BMU,
BOL,DHS
BRA,IPUMS
BRB,
BRN,CENSUS
BTN,MICS
BWA,IPUMS
CAF,DHS
CAN,IPUMS
CHE,IPUMS
CHL,IPUMS
CHN,IPUMS
CIV,DHS
CMR,DHS
COD,DHS
COG,DHS
COK,CENSUS
COL,IPUMS
COM,DHS
CPV,DHS
CRI,IPUMS
CUB,IPUMS
CYP,
CZE,
DEU,
DJI,MICS
DMA,
DNK,
DOM,IPUMS
DZA,MICS
ECU,IPUMS
EGY,DHS
ERI,DHS
ESP,IPUMS
EST,
ETH,DHS
FIN,
FJI,IPUMS
FRA,IPUMS
FSM,CENSUS
GAB,DHS
GBR,CENSUS
GEO,
GHA,DHS
GIN,DHS
GMB,DHS
GNB,MICS
GNQ,MICS
GRC,IPUMS
GRD,
GRL,
GTM,DHS
GUY,DHS
HND,IPUMS
HRV,
HTI,DHS
HUN,IPUMS
IDN,DHS
IND,DHS
IRL,IPUMS
IRN,IPUMS
IRQ,IPUMS
ISL,
ISR,IPUMS
ITA,IPUMS
JAM,IPUMS
JOR,DHS
JPN,
KAZ,DHS
KEN,DHS
KGZ,DHS
KHM,DHS
KIR,CENSUS
KNA,
KOR,KOREAN_LONGITUDINAL SURVEY
KWT,
LAO,CENSUS
LBN,
LBR,IPUMS
LBY,
LCA,IPUMS
LKA,CENSUS
LSO,DHS
LTU,
LUX,
LVA,CENSUS
MAR,DHS
MCO,CENSUS
MDA,DHS
MDG,DHS
MDV,DHS
MEX,IPUMS
MKD,
MLI,DHS
MLT,
MMR,DHS
MNE,
MNG,IPUMS
MOZ,DHS
MRT,MICS
MUS,CENSUS
MUS,
MWI,DHS
MYS,IPUMS
NAM,DHS
NER,DHS
NGA,DHS
NIC,IPUMS
NIU,
NLD,IPUMS
NOR,
NPL,DHS
NRU,
NZL,CENSUS
OMN,CENSUS
PAK,DHS
PAN,IPUMS
PER,DHS
PHL,DHS
PLW,
PNG,IPUMS
POL,IPUMS
PRI,IPUMS
PRK,
PRT,IPUMS
PRY,IPUMS
PSE,IPUMS
QAT,
ROU,IPUMS
RUS,CENSUS
RWA,DHS
SAU,
SDN,
SEN,DHS
SGP,
SLB,
SLE,DHS
SLV,IPUMS
SMR,
SOM,MICS
SRB,
STP,DHS
SUR,MICS
SVK,
SVN,IPUMS
SWE,CENSUS
SWZ,DHS
SYC,CENSUS
SYR,MICS
TCD,DHS
TGO,DHS
THA,DHS
TJK,DHS
TKM,CENSUS
TLS,DHS
TON,
TTO,IPUMS
TUN,CENSUS
TUR,DHS
TUV,
TWN,
TZA,DHS
UGA,DHS
UKR,DHS
URY,CENSUS
USA,IPUMS
UZB,DHS
VCT,
VEN,IPUMS
VIR,
VNM,DHS
VUT,
YEM,DHS
ZAF,DHS
ZMB,DHS
ZWE,DHS
